𑐀𑐄𑐮 | अउल | əulə | (aula) | Noun | 1. malaria
𑐏𑑃𑐐𑑂𑐰𑑅𑐳𑐦𑐹 | खँग्वःसफू | kʰə̃ɡwɔːsəpʰuː | (khãgwa:saphū) | Noun | 1. dictionary
𑐏𑑃𑐟𑑂𑐰𑐵 | खँत्वा | kʰə̃twa | (khãtwā) | Noun | 1. phrase
𑐏𑐵𑐏𑐶𑐥𑑅 | खाखिपः | kʰakʰipəː | (khākhipa:) | Noun | 1. plumb_bob
𑐏𑐶 | खि | kʰi | (khi) | Noun | 1. feces
𑐏𑐶𑐔𑐵 | खिचा | kʰit͡ɕa | (khicā) | Noun | 1. dog
𑐏𑐶𑐥𑑅 | खिपः | kʰipəː | (khipa:) | Noun | 1. rope
𑐏𑐸𑐎𑐸𑑄 | खुकुं | kʰukũː | (khukuṃ) | Noun | 1. hexagon
𑐏𑐸𑐳𑐶 | खुसि | kʰusi | (khusi) | Noun | 1. river
𑐏𑑂𑐫𑐸𑑄 | ख्युं | kʰjũː | (khyuṃ) | Noun | 1. darkness
𑐏𑑂𑐰𑐧𑐶 | ख्वबि | kʰwɔbi | (khwabi) | Noun | 1. tear (from one's eyes)
𑐏𑑂𑐰𑐮𑑂𑐔𑐵𑐑𑐵𑑃𑐫𑑂 | ख्वल्चाघाँय् | kʰwɔlt͡ɕaɡʱæ̃ː | (khwalcāghæ̃) | Noun | 1. false_daisy (Eclipta_prostrata)
𑐏𑑂𑐰𑐵𑑅 | ख्वाः | kʰwaː | (khwā:) | Noun | 1. face
𑐐𑑅𑐥𑑅 | गःपः | ɡəːpəː | (ga:pa:) | Noun | 1. neck
𑐐𑐮𑑂𑐕𑐶 | गल्छि | ɡəlt͡ɕʰi | (galchi) | Noun | 1. canyon
𑐐𑐮𑑂𑐮𑐶𑐕𑐶 | गल्लिछि | ɡəllit͡ɕʰi | (gallichi) | Noun | 1. stream
𑐐𑑄𑐮𑑂𑐰𑐫𑑂 | गंल्वय् | ɡə̃ːlwɔɛː | (gaṃlwaê) | Noun | 1. tuberculosis
𑐐𑐳𑐵 | गसा | ɡəsa | (gasā) | Noun | 1. vehicle
𑐐𑐳𑐸 | गसु | ɡəsu | (gasu) | Noun | 1. etiquette
𑐐𑐵𑐮𑐶 | गालि | ɡali | (gāli) | Noun | 1. fan (electrical or handheld)
𑐐𑐶𑐳𑐵 | गिसा | ɡisa | (gisā) | Noun | 1. scriber
𑐐𑐸𑑄 | गुं | ɡũː | (guṃ) | Noun | 1. forest
𑐐𑐸𑑃𑐖𑐮𑐵 | गुँजला | ɡũd͡ʑəla | (gũjalā) | Noun | 1. volcano
𑐐𑐸𑐣𑐎𑐾𑐬𑐵 | गुनकेरा | ɡunəkeɾa | (gunakerā) | Noun | 1. daffodil
𑐐𑐾𑑃𑐳𑐸 | गेँसु | ɡẽsu | (gẽsu) | Noun | 1. gravity
𑐐𑑂𑐫𑐵𑐣𑐵 | ग्याना | ɡjana | (gyānā) | Noun | 1. fear
𑐐𑑂𑐫𑐵𑐫𑐾 | ग्याये | ɡjaje | (gyāye) | Verb | 1. to fear
𑐐𑑂𑐰𑐵𑐮𑐶 | ग्वालि | ɡwali | (gwāli) | Noun | 1. heel
𑐑𑑅𑐔𑐵 | घःचा | ɡʱəːt͡ɕa | (gha:cā) | Noun | 1. wheel
𑐔𑐵𑐎𑐸𑐴𑐶 | चाकुहि | t͡ɕakuhi | (cākuhi) | Noun | 1. sweet_potato
𑐔𑐵𑑅𑐟𑐶 | चाःति | t͡ɕaːti | (cā:ti) | Noun | 1. sweat
𑐔𑐵𑐳𑐸 | चासु | t͡ɕasu | (cāsu) | Adjective | 1. itchy
𑐔𑐵𑐴𑐶𑐮𑐶𑐐𑐸 | चाहिलिगु | t͡ɕahiliɡu | (cāhiligu) | Noun | 1. travel
𑐔𑐶𑐎𑑄 | चिकं | t͡ɕikə̃ː | (cikaṃ) | Noun | 1. oil
𑐔𑐶𑐎𑑄𑐳𑐶 | चिकंसि | t͡ɕikə̃ːsi | (cikaṃsi) | Noun | 1. lychee
𑐔𑐶𑐎𑐸𑐮𑐵 | चिकुला | t͡ɕikula | (cikulā) | Noun | 1. hemanta ('pre-winter')
𑐔𑐸𑐳𑐶 | चुसि | t͡ɕusi | (cusi) | Noun | 1. knife
𑐔𑑂𑐫𑐵𑐎𑐸𑑄 | च्याकुं | t͡ɕjakũː | (cyākuṃ) | Noun | 1. octagon
𑐔𑑂𑐰𑐏𑑃 | च्वखँ | t͡ɕwɔkʰə̃ | (cwakhã) | Noun | 1. essay
𑐔𑑂𑐰𑐫𑐾 | च्वये | t͡ɕwɔje | (cwaye) | Noun | 1. book
𑐔𑑂𑐰𑐮𑑂𑐰𑐴𑑄 | च्वल्वहं | t͡ɕwɔlwɔhə̃ː | (cwalwahaṃ) | Noun | 1. flint, flintstone
𑐔𑑂𑐰𑐵𑐥𑐸𑐏𑐸 | च्वापुखु | t͡ɕwapukʰu | (cwāpukhu) | Noun | 1. glacier
𑐔𑑂𑐰𑐵𑐥𑐸𑐐𑐸𑑄 | च्वापुगुं | t͡ɕwapuɡũː | (cwāpuguṃ) | Noun | 1. mountain
𑐔𑑂𑐰𑐵𑐥𑐸𑐴𑐸𑐬 | च्वापुहुर | t͡ɕwapuhuɾə | (cwāpuhura) | Noun | 1. avalanche
𑐔𑑂𑐰𑐵𑐩𑑂𑐰𑑅𑐳𑐵 | च्वाम्वःसा | t͡ɕwamwɔːsa | (cwāmwa:sā) | Noun | 1. yak
𑐔𑑂𑐰𑐾𑐐𑐸 | च्वेगु | t͡ɕweɡu | (cwegu) | Noun | 1. writing
𑐕𑐶𑐐𑐸 | छिगु | t͡ɕʰiɡu | (chigu) | Pronoun | 1. your, yours
𑐕𑐾𑑃 | छेँ | t͡ɕʰẽ | (chẽ) | Noun | 1. house
𑐕𑐾𑑄𑐐𑐹 | छेंगू | t͡ɕʰẽɡuː | (cheṃgū) | Noun | o The Bible Psalms.102.5:
𑐕𑑂𑐫𑑄 | छ्यं | t͡ɕʰjə̃ː | (chyaṃ) | Noun | 1. head
𑐖𑑅 | जः | d͡ʑəː | (ja:) | Noun | 1. light
𑐖𑐮𑐵𑐳𑐾𑑄 | जलासें | d͡ʑəlasẽ | (jalāseṃ) | Noun | 1. kidney
𑐖𑐰𑐵𑑅𑐖𑑂𑐫𑐵 | जवाःज्या | d͡ʑəwaːd͡ʑja | (jawā:jyā) | Noun | 1. animal_husbandry
𑐖𑐵𑐎𑐶 | जाकि | d͡ʑaki | (jāki) | Noun | 1. rice
𑐖𑐶𑐮𑑄𑐖𑑂𑐫𑐵 | जिलंज्या | d͡ʑilə̃ːd͡ʑja | (jilaṃjyā) | Noun | 1. digestion
𑐖𑐷𑐳𑑂𑐰𑐵𑑄 | जीस्वां | d͡ʑiːswãː | (jīswāṃ) | Noun | 1. jasmine flower
𑐖𑐸𑐖𑐸 | जुजु | d͡ʑud͡ʑu | (juju) | Noun | 1. king, monarch
𑐖𑐸𑐫𑐾 | जुये | d͡ʑuje | (juye) | Verb | 1. to become
𑐗𑑄𑐐𑑅 | झंगः | d͡ʑʱə̃ːɡəː | (jhaṃga:) | Noun | 1. bird
𑐗𑐵𑐳𑐸 | झासु | d͡ʑʱasu | (jhāsu) | Noun | 1. leisure
𑐗𑐶𑐐𑐸 | झिगु | d͡ʑʱiɡu | (jhigu) | Pronoun | 1. my, mine
𑐗𑑂𑐫𑐵𑑅 | झ्याः | d͡ʑʱjaː | (jhyā:) | Noun | 1. window
𑐗𑑂𑐰𑐮𑐗𑑄𑐐𑑅 | झ्वलझंगः | d͡ʑʱwɔləd͡ʑʱə̃ːɡəː | (jhwalajhaṃga:) | Noun | 1. owl
𑐗𑑂𑐰𑐵𑐮𑐵 | झ्वाला | d͡ʑʱwala | (jhwālā) | Noun | 1. waterfall
𑐗𑑂𑐰𑐵𑐳𑑂𑐫𑐵 | झ्वास्या | d͡ʑʱwasja | (jhwāsyā) | Noun | 1. swamp
𑐜𑑂𑐰𑐵𑐎𑐸 | ड्वाकु | ɖwaku | (ḍwāku) | Adjective | 1. big, large, great
𑐟𑑄 | तं | tə̃ː | (taṃ) | Pronoun | 1. Devanagari_script form of taṃ, which is accusative singular of त्वं
𑐟𑐎𑐸𑐳𑑂𑐰𑐵𑑄 | तकुस्वां | təkuswãː | (takuswāṃ) | Noun | 1. rhododendron
𑐟𑐕𑑂𑐰 | तछ्व | tət͡ɕʰwɔ | (tachwa) | Noun | 1. barley
𑐟𑐖𑐶𑐮𑐖𑐶 | तजिलजि | təd͡ʑiləd͡ʑi | (tajilaji) | Noun | 1. culture
𑐟𑐠𑑂𑐫𑐵𑐒𑑂𑐎 | तथ्याङ्क | tətʰjaŋkə | (tathyāṅka) | Noun | 1. statistics
𑐟𑐣𑐾𑐖𑑂𑐫𑐵 | तनेज्या | təned͡ʑja | (tanejyā) | Noun | 1. (mathematics) addition
𑐟𑐥𑐵𑐫𑑂 | तपाय् | təpæː | (tapæ) | Noun | 1. ancestor
𑐟𑑃𑐫𑑂 | तँय् | tɛ̃ː | (tễ) | Noun | 1. wool
𑐟𑑅𑐴𑐵𑑅𑐣𑐐𑐸 | तःहाःनगु | təːhaːnəɡu | (ta:hā:nagu) | Noun | 1. comet
𑐟𑐵 | ता | ta | (tā) | Pronoun | 1. Devanagari_script form of tā (“she”)
𑐟𑐵𑐫𑑂‌𑐐𑑅𑐳𑐶𑐩𑐵 | ताय्‌गःसिमा | tæːɡəːsima | (tæga:simā) | Noun | 1. palm_tree
𑐟𑐵𑐮𑑂𑐮𑐵 | ताल्ला | talla | (tāllā) | Noun | 1. summer
𑐟𑐶 | ति | ti | (ti) | Noun | 1. Devanagari_script form of ti (“thus”)
𑐟𑐶𑑃𑐢𑐸𑑃 | तिँधुँ | tĩdʱũ | (tĩdhũ) | Noun | 1. leopard
𑐟𑐶𑐧𑑅 | तिबः | tibəː | (tiba:) | Noun | 1. force
𑐟𑐶𑐩𑐶𑐮𑐵 | तिमिला | timila | (timilā) | Noun | 2. a moon
𑐟𑐶𑐳𑐵 | तिसा | tisa | (tisā) | Noun | 1. jewellery
𑐟𑐷𑐩𑐵 | तीमा | tiːma | (tīmā) | Noun | 1. (archery) bow
𑐟𑐸𑐎𑑄 | तुकं | tukə̃ː | (tukaṃ) | Noun | 1. mustard plant
𑐟𑐸𑐟𑐶 | तुति | tuti | (tuti) | Noun | 1. leg
𑐟𑐸𑐥𑑅 | तुपः | tupəː | (tupa:) | Noun | 1. gun
𑐟𑐸𑐫𑐸 | तुयु | tuju | (tuyu) | Noun | 1. white
𑐟𑑂𑐰𑑃𑐳𑐵 | त्वँसा | twɔ̃sa | (twãsā) | Noun | 1. drink, beverage
𑐠𑐶𑑃𑐨𑑅 | थिँभः | tʰĩbʱəː | (thĩbha:) | Noun | 1. lever
𑐠𑑂𑐰 | थ्व | tʰwɔ | (thwa) | Pronoun | o The Bible Psalms.102.18:
𑐡𑑃 | दँ | də̃ | (dã) | Noun | 1. year
𑐡𑐠𑐸 | दथु | dətʰu | (dathu) | Noun | 1. center
𑐡𑐣𑐵𑐳𑐸 | दनासु | dənasu | (danāsu) | Noun | 1. consciousness
𑐡𑐧𑐮𑐶 | दबलि | dəbəli | (dabali) | Noun | 1. theatre (structure)
𑐡𑐧𑐹 | दबू | dəbuː | (dabū) | Noun | 1. theatre (structure)
𑐡𑐧𑐹_𑐥𑑂𑐫𑐵𑐏𑑄 | दबू प्याखं | dəbuː pjakʰə̃ː | (dabū pyākhaṃ) | Noun | 1. theatre (art form)
𑐡𑐵𑑅 | दाः | daː | (dā:) | Noun | 1. fat
𑐡𑐸𑐐𑑅𑐎𑑂𑐰𑑃𑐫𑑂 | दुगःक्वँय् | duɡəːkwɔ̃ɛː | (duga:kwãê) | Noun | 1. backbone, vertebral_column
𑐡𑐸𑐐𑐸 | दुगु | duɡu | (dugu) | Noun | 1. goat
𑐡𑐸𑐬𑐸 | दुरु | duɾu | (duru) | Noun | 1. milk
𑐡𑐸𑐬𑐸𑐮𑑂𑐰𑐴𑑄 | दुरुल्वहं | duɾulwɔhə̃ː | (durulwahaṃ) | Noun | 1. marble
𑐡𑐸𑐳𑐶𑐎𑐵 | दुसिका | dusika | (dusikā) | Noun | 1. science
𑐡𑐸𑐳𑐾 | दुसे | duse | (duse) | Noun | 1. millet
𑐡𑑂𑐫𑑅𑐏𑑂𑐫𑐵𑐮𑑅 | द्यःख्यालः | djəːkʰjaləː | (dya:khyāla:) | Noun | 1. atheism
