𑐀𑐄𑐮 | अउल | əulə | (aula) | Noun | 1. malaria
𑐨𑑁 | भौ | bʱəu | (bhau) | Noun | 1. cat
𑐨𑑂𑐰𑑄 | भ्वं | bʱwɔ̃ː | (bhwaṃ) | Noun | 1. paper
𑐨𑑂𑐰𑐫𑑂 | भ्वय् | bʱwɔɛː | (bhwaê) | Noun | 1. feast
𑐩𑐔𑐵 | मचा | mət͡ɕa | (macā) | Noun | 1. child
𑐩𑐟𑐶𑐣𑐵 | मतिना | mətina | (matinā) | Noun | 1. love
𑐩𑐥𑐄 | मपउ | məpəu | (mapau) | Adjective | 1. (Dolakha) sick, ill
𑐩𑐵𑐎𑑅𑐢𑐸𑑃 | माकःधुँ | makəːdʱũ | (māka:dhũ) | Noun | 1. bear
𑐩𑐶𑐏𑐵 | मिखा | mikʰa | (mikhā) | Noun | 1. eye
𑐩𑐶𑐖𑑄𑐩𑐔𑐵 | मिजंमचा | mid͡ʑə̃ːmət͡ɕa | (mijaṃmacā) | Noun | 1. boy, male child
𑐩𑐶𑐥𑐸𑐔𑑅 | मिपुचः | miput͡ɕəː | (mipuca:) | Noun | 1. society
𑐩𑐶𑐳𑐵𑐩𑐔𑐵 | मिसामचा | misamət͡ɕa | (misāmacā) | Noun | 1. girl, female child
𑐩𑐸𑐐𑑅 | मुगः | muɡəː | (muga:) | Noun | 1. hammer
𑐩𑐾𑐫𑑂 | मेय् | meɛː | (meê) | Noun | 1. water_buffalo
𑐩𑑂𑐫𑐾 | म्ये | mje | (mye) | Noun | 2. music
𑐩𑑂𑐰𑐵𑐫𑑂 | म्वाय् | mwæː | (mwæ) | Noun | 1. banana
𑐪𑐎𑐸𑐔𑐵 | म्हकुचा | mʱəkut͡ɕa | (mhakucā) | Noun | 1. organ
𑐪𑐐𑑅𑐳 | म्हगःस | mʱəɡəːsə | (mhaga:sa) | Noun | 1. dream
𑐪𑐵𑐳𑐸 | म्हासु | mʱasu | (mhāsu) | Noun | 1. yellow
𑐪𑐸𑐟𑐸 | म्हुतु | mʱutu | (mhutu) | Noun | 1. mouth
𑐪𑐸𑐟𑐸𑐳𑐶 | म्हुतुसि | mʱutusi | (mhutusi) | Noun | 1. lip
𑐪𑑂𑐫𑐵𑐫𑑂 | म्ह्याय् | mʱjæː | (mhyæ) | Noun | 1. daughter
𑐪𑑂𑐫𑑂‌𑐏𑐵 | म्ह्य्‌खा | mʱɛːkʰa | (mhêkhā) | Noun | 1. peacock
𑐫𑐵𑐳𑐸 | यासु | jasu | (yāsu) | Pronoun | 1. Devanagari_script form of yāsu, which is locative plural of या (yā,
𑐫𑐾𑑃 | येँ | jẽ | (yẽ) | _ | 1. Kathmandu
𑐫𑐾𑐟𑑂 | येत् | jet | (yet) | Verb | 1. to do
𑐮𑑃 | लँ | lə̃ | (lã) | Noun | 1. road
𑐮𑑅 | लः | ləː | (la:) | Noun | 1. water
𑐮𑐂𑑃𑐔𑐵 | लइँचा | lə̃it͡ɕa | (la͠icā) | Noun | 1. henna, mehndi (Lawsonia_inermis) (clarification of this definition is
𑐮𑑅𑐏𑑅 | लःखः | ləːkʰəː | (la:kha:) | Noun | 1. ship
𑐮𑐐𑐵𑐣𑐷 | लगानी | ləɡaniː | (lagānī) | Noun | 1. investment
𑐮𑐑𑑂𑐰𑐵𑐟𑐸 | लघ्वातु | ləɡʱwatu | (laghwātu) | Noun | 1. lithium
𑐮𑐴𑐣𑐵 | लहना | ləhəna | (lahanā) | Noun | 1. civilization
𑐮𑐵𑐎𑐵𑑄 | लाकां | lakãː | (lākāṃ) | Noun | 1. shoe
𑐮𑐵𑐫𑐾𑐮𑐵𑐩𑐵 | लायेलामा | lajelama | (lāyelāmā) | Noun | 1. rainbow
𑐮𑐸𑑃 | लुँ | lũ | (lũ) | Noun | 1. gold
𑐮𑐸𑐩𑐣𑑂𑐟𑐶 | लुमन्ति | lumənti | (lumanti) | Noun | 1. memory
𑐮𑐸𑐳𑐵𑑅 | लुसाः | lusaː | (lusā:) | Noun | 1. telescope
𑐮𑐾𑐟𑐵𑐃𑐐𑐸 | लेताईगु | letaiːɡu | (letāīgu) | Noun | 1. happiness
𑐮𑑂𑐫𑐵𑑅 | ल्याः | ljaː | (lyā:) | Noun | 1. number
𑐮𑑂𑐫𑐵𑑅𑐖𑑂𑐫𑐵 | ल्याःज्या | ljaːd͡ʑja | (lyā:jyā) | Noun | 1. mathematics
𑐮𑑂𑐰𑐴𑑄 | ल्वहं | lwɔhə̃ː | (lwahaṃ) | Noun | 1. rock
𑐮𑑂𑐰𑐴𑑄𑐔𑐵 | ल्वहंचा | lwɔhə̃ːt͡ɕa | (lwahaṃcā) | Noun | 1. gravel
𑐮𑑂𑐰𑐵𑐨𑑅 | ल्वाभः | lwabʱəː | (lwābha:) | Noun | 1. weapon
𑐯𑐵𑑅 | ल्हाः | lʱaː | (lhā:) | Noun | 1. arm
𑐯𑑂𑐰𑐎𑐦𑐵𑐎 | ल्ह्वकफाक | lʱwɔkəpʰakə | (lhwakaphāka) | Noun | 1. cholera
𑐰𑐔𑐸 | वचु | wɔt͡ɕu | (wacu) | Noun | 1. blue
𑐰𑐴𑑅 | वहः | wɔhəː | (waha:) | Noun | 1. silver
𑐰𑐵𑑄𑐐𑐸 | वांगु | wãːɡu | (wāṃgu) | Noun | 1. green
𑐰𑐵𑐳𑐵 | वासा | wasa | (wāsā) | Noun | 2. nominative/vocative plural (vāsa)
𑐳𑑃 | सँ | sə̃ | (sã) | Noun | 1. hair (of the head)
𑐳𑑄𑐎𑐶𑐥𑐵 | संकिपा | sə̃ːkipa | (saṃkipā) | Noun | 2. cinema
𑐳𑑄𑐎𑑂𑐬𑐵𑐩𑐎_𑐮𑑂𑐰𑐫𑑂 | संक्रामक ल्वय् | sə̃ːkɾaməkə lwɔɛː | (saṃkrāmaka lwaê) | Noun | 1. infectious_disease
𑐳𑑃𑐎𑑂𑐰𑑅 | सँक्वः | sə̃kwɔː | (sãkwa:) | Noun | 1. raven
𑐳𑐏𑑂𑐰𑐵𑑅𑐮𑑂𑐰𑐴𑑄 | सख्वाःल्वहं | səkʰwaːlwɔhə̃ː | (sakhwā:lwahaṃ) | Noun | 1. limestone
𑐳𑐣𑑂𑐟𑑂𑐬𑐵𑐳𑐶 | सन्त्रासि | səntɾasi | (santrāsi) | Noun | 1. orange (fruit)
𑐳𑐦𑐹 | सफू | səpʰuː | (saphū) | Noun | 1. book
𑐳𑐦𑐹𑐢𑐸𑐎𑐹 | सफूधुकू | səpʰuːdʱukuː | (saphūdhukū) | Noun | 1. library
𑐳𑐩𑐵𑑅𑐖𑑂𑐰𑐮𑑄 | समाःज्वलं | səmaːd͡ʑwɔlə̃ː | (samā:jwalaṃ) | Noun | 1. makeup, cosmetics
𑐳𑐮_𑐧𑑂𑐰𑐵𑐎𑐶𑐐𑐸 | सल ब्वाकिगु | sələ bwakiɡu | (sala bwākigu) | Noun | 1. horse_racing
𑐳𑐮𑐵𑐂 | सलाइ | səlai | (salāi) | Noun | 1. match (to strike fire with)
𑐳𑐶 | सि | si | (si) | Noun | 1. fruit
𑐳𑐶𑑃 | सिँ | sĩ | (sĩ) | Noun | 1. wood
𑐳𑐶𑐏_𑐢𑐬𑑂𑐩 | सिख धर्म | sikʰə dʱəɾmə | (sikha dharma) | _ | 1. Sikhism; the Sikh religion
𑐳𑐶𑐣𑑅𑐳𑐶𑑃 | सिनःसिँ | sinəːsĩ | (sina:sĩ) | Noun | 1. sandalwood
𑐳𑐶𑐤𑑅 | सिन्हः | sinʱəː | (sinha:) | Noun | 1. tilak
𑐳𑐶𑐫𑐸 | सियु | siju | (siyu) | Noun | 1. brown
𑐳𑐷 | सी | siː | (sī) | Noun | 1. wax
𑐳𑐷𑐖𑑅 | सीजः | siːd͡ʑəː | (sīja:) | Noun | 1. copper
𑐳𑐸𑐥𑐵𑑃𑐫𑑂 | सुपाँय् | supæ̃ː | (supæ̃) | Noun | 1. cloud
𑐳𑐾𑑄 | सें | sẽ | (seṃ) | Noun | 1. liver
𑐳𑑂𑐫𑐵𑐫𑐾 | स्याये | sjaje | (syāye) | Verb | 1. to kill
𑐳𑑂𑐰𑑃 | स्वँ | swɔ̃ | (swã) | Noun | 1. lung
𑐳𑑂𑐰𑐎𑐸𑑄 | स्वकुं | swɔkũː | (swakuṃ) | Noun | 1. triangle
𑐳𑑂𑐰𑐵𑑄 | स्वां | swãː | (swāṃ) | Noun | 1. flower
𑐳𑑂𑐰𑐵𑐣𑐾 | स्वाने | swane | (swāne) | Noun | 1. stairs
𑐳𑑂𑐰𑐵𑑄𑐩𑐵 | स्वांमा | swãːma | (swāṃmā) | Noun | 1. shrub
𑐴𑑃 | हँ | hə̃ | (hã) | Noun | 1. chisel
𑐴𑐟𑐵𑑅 | हताः | hətaː | (hatā:) | Noun | 1. war
𑐴𑐠𑑄 | हथं | hətʰə̃ː | (hathaṃ) | Noun | 1. soapberry
𑐴𑐮𑐶𑐩 | हलिम | həlimə | (halima) | Noun | 1. world
𑐴𑐵𑐎𑐸 | हाकु | haku | (hāku) | Noun | 1. black
𑐴𑐵𑐳𑐵 | हासा | hasa | (hāsā) | Noun | 1. nanglo, a flat woven tray made of bamboo
𑐴𑐶𑑃𑐎𑐶𑑄 | हिँकिं | hĩkĩː | (hĩkiṃ) | Noun | 1. screw
𑐴𑐶𑐟𑐶 | हिति | hiti | (hiti) | Noun | 1. faucet, tap
𑐴𑑂𑐫𑐵𑑄𑐐𑐸 | ह्यांगु | hjãːɡu | (hyāṃgu) | Noun | 1. red
𑐴𑑂𑐰𑐖𑑂𑐫𑐵 | ह्वज्या | hwɔd͡ʑja | (hwajyā) | Noun | 1. irrigation
𑐎𑐮 | कल | kələ | (kala) | Noun | 1. machine, device
